,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
85,launceston,-41.43,147.14,55.0,93,40,14.99,AU,1558378770
87,ambilobe,-13.19,49.05,74.76,92,2,4.52,MG,1558378770
88,cidreira,-30.17,-50.22,76.56,66,0,5.5,BR,1558378770
90,tarauaca,-8.16,-70.77,90.06,47,48,1.43,BR,1558378771
91,bella vista,-28.51,-59.05,75.66,80,62,7.29,AR,1558378771
96,mataura,-46.19,168.86,48.0,88,58,1.99,NZ,1558378772
99,barrow,-38.31,-60.23,59.64,59,100,13.38,AR,1558378772
100,sorong,-0.86,131.25,77.28,93,95,2.01,ID,1558378773
104,mbigou,-1.9,11.91,72.6,94,70,1.63,GA,1558378773
112,bredasdorp,-34.53,20.04,55.0,62,0,8.05,ZA,1558378775
114,koumac,-20.56,164.28,74.4,68,0,12.86,NC,1558378775
115,faanui,-16.48,-151.75,82.86,74,61,11.59,PF,1558378775
117,east london,-33.02,27.91,60.8,72,20,27.51,ZA,1558378775
120,chuy,-33.69,-53.46,65.58,91,96,13.78,UY,1558378776
124,san felipe,-32.75,-70.73,51.01,95,37,1.01,CL,1558378777
125,arraial do cabo,-22.97,-42.02,84.2,78,0,4.7,BR,1558378491
126,margate,-43.03,147.26,57.99,66,40,5.82,AU,1558378778
135,kibaya,-2.2,30.56,66.2,88,75,3.36,RW,1558378779
138,morondava,-20.3,44.28,79.08,69,0,9.06,MG,1558378780
145,comodoro rivadavia,-45.87,-67.48,55.4,37,0,16.11,AR,1558378608
153,porto novo,-23.68,-45.44,77.0,53,20,4.7,BR,1558378783
161,sao joao da barra,-21.64,-41.05,86.0,55,40,3.36,BR,1558378785
172,antsohihy,-14.88,47.99,80.7,74,100,5.35,MG,1558378786
173,kavieng,-2.57,150.8,82.86,75,100,3.76,PG,1558378787
184,burnie,-41.05,145.91,53.01,87,76,5.99,AU,1558378789
185,kaitangata,-46.28,169.85,52.0,67,16,10.0,NZ,1558378789
189,bluff,-23.58,149.07,61.08,89,1,11.83,AU,1558378790
192,port hedland,-20.31,118.58,62.6,51,0,6.93,AU,1558378791
193,hithadhoo,-0.6,73.08,84.12,75,100,11.3,MV,1558378650
195,codrington,-28.95,153.24,60.8,93,90,5.82,AU,1558378791
197,coquimbo,-29.95,-71.34,64.4,59,75,5.82,CL,1558378792
198,grand baie,-20.02,57.58,78.8,74,75,11.41,MU,1558378661
201,luanda,-8.83,13.24,78.8,78,20,6.93,AO,1558378792
202,rio gallegos,-51.62,-69.22,53.6,40,0,34.45,AR,1558378754
203,namatanai,-3.66,152.44,77.46,88,100,5.95,PG,1558378793
211,labuhan,-2.54,115.51,75.48,86,18,2.8,ID,1558378794
212,mount gambier,-37.83,140.78,53.6,100,90,8.05,AU,1558378628
214,mount isa,-20.73,139.49,68.0,56,0,6.93,AU,1558378794
216,hobart,-42.88,147.33,57.99,66,40,5.82,AU,1558378795
225,carnarvon,-30.97,22.13,50.1,65,58,14.94,ZA,1558378797
228,san pedro,-33.68,-59.66,63.0,69,100,7.0,AR,1558378735
231,mocuba,-16.84,36.99,65.76,90,1,2.42,MZ,1558378804
234,katobu,-4.94,122.53,75.66,93,17,1.54,ID,1558378814
235,banjar,-7.37,108.54,73.86,98,86,1.14,ID,1558378616
237,andradas,-22.07,-46.57,79.0,56,20,6.93,BR,1558378535
240,lockhart,-35.22,146.72,55.4,76,75,3.36,AU,1558378821
248,ancud,-41.87,-73.83,48.2,70,0,9.17,CL,1558378825
250,port lincoln,-34.72,135.86,63.6,76,100,15.48,AU,1558378826
253,murray bridge,-35.12,139.28,55.99,89,100,1.01,AU,1558378827
254,rocha,-34.48,-54.34,61.08,96,97,11.3,UY,1558378828
256,cobija,-11.02,-68.77,89.6,55,75,3.36,BR,1558378828
257,port-gentil,-0.72,8.78,80.6,88,20,11.41,GA,1558378833
258,te anau,-45.41,167.72,39.3,93,61,4.12,NZ,1558378834
262,umtata,-31.59,28.78,60.8,51,0,17.22,ZA,1558378835
264,saint-leu,-21.15,55.28,78.01,88,68,3.36,RE,1558378835
266,alice springs,-23.7,133.88,57.2,93,1,3.36,AU,1558378836
270,griffith,-34.29,146.06,55.4,82,13,5.82,AU,1558378837
271,coihaique,-45.58,-72.07,46.4,59,0,4.7,CL,1558378837
272,sao felix do xingu,-6.64,-51.99,80.34,92,100,3.74,BR,1558378837
273,santa rosa,-36.62,-64.29,49.38,78,100,13.94,AR,1558378839
275,vila velha,-3.71,-38.6,80.6,83,75,9.17,BR,1558378839
277,soyo,-6.13,12.37,80.6,88,20,9.17,AO,1558378792
280,santa ines,-0.82,-78.63,64.4,72,75,2.93,EC,1558378840
283,christchurch,-43.53,172.64,51.01,100,1,3.36,NZ,1558378744
284,kibakwe,-6.71,36.37,69.54,74,46,5.44,TZ,1558378841
285,luderitz,-26.65,15.16,62.6,72,39,18.34,,1558378806
300,betafo,-19.84,46.86,58.2,92,9,3.47,MG,1558378845
301,aitape,-3.15,142.36,77.64,87,100,3.96,PG,1558378845
302,alofi,-19.06,-169.92,75.2,94,75,6.93,NU,1558378845
303,yulara,-25.24,130.99,62.6,77,20,8.16,AU,1558378845
305,salinopolis,-0.61,-47.36,82.14,82,90,12.57,BR,1558378846
307,dunedin,-45.87,170.5,46.99,81,1,4.0,NZ,1558378846
310,airai,-8.93,125.41,75.12,73,35,7.2,TL,1558378846
318,buala,-8.15,159.59,81.96,79,87,10.78,SB,1558378849
319,acari,-6.44,-36.64,89.34,48,100,11.99,BR,1558378849
322,tshikapa,-6.42,20.79,79.62,58,99,2.15,CD,1558378849
334,san patricio,-26.98,-56.83,76.74,82,94,7.49,PY,1558378853
338,port shepstone,-30.74,30.45,69.54,47,2,5.32,ZA,1558378854
339,tautira,-17.73,-149.15,84.2,70,20,10.29,PF,1558378854
340,la libertad,-16.38,-71.56,64.4,36,0,8.05,PE,1558378855
346,chiredzi,-21.05,31.67,65.76,42,0,0.78,ZW,1558378856
352,biak,-0.91,122.88,65.4,98,81,3.27,ID,1558378857
358,alyangula,-13.85,136.42,71.6,100,100,3.36,AU,1558378858
361,boyolangu,-8.09,111.9,74.76,89,80,4.65,ID,1558378858
365,ulladulla,-35.36,150.48,60.01,62,0,11.41,AU,1558378859
367,pampierstad,-27.78,24.69,67.02,23,0,10.38,ZA,1558378859
369,cooma,-36.24,149.13,53.6,71,11,10.29,AU,1558378860
385,santa maria,-29.69,-53.81,71.16,85,99,5.95,BR,1558378868
387,el alto,-16.5,-68.19,57.2,19,75,14.99,BO,1558378857
391,namibe,-15.19,12.15,71.7,74,0,17.4,AO,1558378870
393,juiz de fora,-21.76,-43.35,75.2,44,20,8.05,BR,1558378833
396,nelson bay,-32.72,152.14,59.0,93,2,3.36,AU,1558378870
397,tuatapere,-46.13,167.69,48.0,88,71,1.99,NZ,1558378871
400,kieta,-6.22,155.63,82.5,72,97,4.09,PG,1558378871
401,kalabo,-15.0,22.67,69.9,42,47,4.72,ZM,1558378871
402,sambava,-14.27,50.17,70.98,99,7,1.5,MG,1558378871
408,boquira,-12.82,-42.73,88.62,40,20,5.1,BR,1558378872
418,ahipara,-35.17,173.16,55.0,100,99,9.51,NZ,1558378875
419,byron bay,-28.65,153.62,63.0,93,40,4.7,AU,1558378875
420,isangel,-19.55,169.27,74.76,76,13,20.18,VU,1558378875
424,arenapolis,-14.45,-56.85,89.52,34,27,3.94,BR,1558378876
425,tocopilla,-22.09,-70.2,61.8,94,79,17.07,CL,1558378876
427,hastings,-39.64,176.84,42.18,93,0,2.64,NZ,1558378877
432,macau,-5.11,-36.64,86.1,65,70,13.85,BR,1558378878
438,waipawa,-39.94,176.59,33.01,93,0,2.64,NZ,1558378879
442,kokstad,-30.55,29.42,57.12,33,51,3.65,ZA,1558378831
443,lucapa,-8.42,20.74,78.36,48,65,2.73,AO,1558378880
445,ingham,-18.65,146.16,64.32,97,24,3.29,AU,1558378880
446,henties bay,-22.12,14.28,59.0,91,0,5.99,,1558378880
450,lorengau,-2.02,147.27,77.46,89,100,1.12,PG,1558378869
459,san ramon de la nueva oran,-23.13,-64.33,63.42,97,100,2.13,AR,1558378883
461,prainha,-1.8,-53.48,86.1,69,100,4.14,BR,1558378652
468,san cristobal,-0.39,-78.55,71.6,37,75,4.7,EC,1558378885
472,sawtell,-30.38,153.1,57.2,93,90,3.36,AU,1558378885
474,plettenberg bay,-34.05,23.37,55.32,74,98,7.18,ZA,1558378886
477,bundaberg,-24.87,152.35,61.0,93,0,6.93,AU,1558378886
478,samarinda,-0.5,117.14,75.3,98,52,2.08,ID,1558378886
481,narok,-1.09,35.87,56.76,91,35,6.64,KE,1558378887
483,necochea,-38.55,-58.74,59.0,47,100,5.99,AR,1558378887
484,talcahuano,-36.72,-73.12,55.4,66,40,6.93,CL,1558378827
489,bonfim,-20.33,-44.24,82.4,39,20,8.05,BR,1558378888
492,bolobo,-2.17,16.23,83.94,57,95,2.33,CD,1558378889
503,kambove,-10.88,26.6,62.52,91,15,3.36,CD,1558378891
504,tutoia,-2.76,-42.27,86.0,79,75,6.93,BR,1558378891
505,touros,-5.2,-35.46,84.12,75,52,15.88,BR,1558378891
506,babati,-4.21,35.75,55.5,97,59,6.11,TZ,1558378891
507,graaff-reinet,-32.25,24.53,60.0,53,19,13.87,ZA,1558378808
508,noumea,-22.28,166.46,64.4,77,0,2.24,NC,1558378811
511,valenca do piaui,-6.41,-41.75,84.66,67,58,5.37,BR,1558378892
513,denpasar,-8.65,115.22,80.6,94,20,8.05,ID,1558378866
516,malindi,-3.22,40.12,77.0,88,75,9.17,KE,1558378808
518,bonito,-21.13,-56.49,84.3,49,0,7.72,BR,1558378893
523,kununurra,-15.77,128.74,82.4,58,75,6.93,AU,1558378894
526,viedma,-40.81,-62.99,58.56,41,14,10.98,AR,1558378894
531,russell,-33.01,-68.8,50.0,71,75,12.75,AR,1558378895
536,padang,-0.92,100.36,81.24,82,100,7.65,ID,1558378896
539,palu,-0.9,119.87,78.72,80,72,3.83,ID,1558378897
541,tamworth,-31.09,150.93,44.6,87,64,5.82,AU,1558378897
